Questions,Difficulty
Compare Robotic Process Automation with traditional automation.,2
What is RPA?,2
List the different types of tools in RPA.,3
Describe the life cycle of RPA.,2
How would you deploy UiPath?,2
How do you invoke a UiPath workflow?,3
What is Citrix Automation?,2
What are RPA Bots and how to create them?,1
"How are TaskBot, MetaBot, and IQBot different from one another in an RPA tool?",2
List the industrial applications of RPA.,1
List the advantages of Robotic Process Automation.,1
How do you perform Screen Scraping in RPA?,1
List the benefits of Screen Scraping.,3
How can you differentiate RPA from Macros?,2
What are the different automation frameworks used in software automation testing?,1
List the components of RPA Solution Architecture.,1
What is Thin Client and Thick Client in RPA?,2
List the limitations of RPA.,1
Explain Flow Switch in UiPath.,2
What are the different activities performed by UiPath?,3
What are the various types of Recording available in UiPath?,2
Differentiate between Blue Prism and UiPath.,3
What are the important aspects to be considered in the planning phase of automation?,2
"If the organization's infrastructure is not aligned with RPA, then what needs to be done?",2
Define Single Block Activity in UiPath.,2
How do you use Assign Activity and Delay Activity in UiPath?,3
When do we use UI automation? What are the three types f automation?,2
What are Selectors in UiPath?,3
Explain how to Create and Remove an argument in UiPath.,2
What are the different types of Logs? What are Log Fields?,3
What is the UiPath tool?,2
What are the various products of UiPath?,3
What are the various phases of an RPA life cycle?,3
Explain UiPath architecture?,3
Mention the workflows in UiPath?,3
Explain the features of UiPath? ,2
Name the popular tools of RPA?,3
Mention the advantages and disadvantages of RPA?,3
Describe the difference between UiPath and automation anywhere?,2
What is the difference between UiPath and Blue Prism?,2
Give some examples of automation that can be done using UiPath?,1
What are the various types of recordings present in UiPath?,2
What are the major advantages of UiPath?,3
What is the value and scope of data types?,1
How to create a project and execute it in UiPath studio?,2
What are the different types of variable error handling actions in UiPath?,3
What is Branching?,2
What is Delay activity?,1
Why do we use element exist in UiPath?,2
What is the difference between While activity and Do-while activity?,2
What is Assign activity?,1
What is Switch activity?,1
Mention the difference between Screen Scraping and Data scraping?,1
What are Arguments in UiPath?,2
What are a thin client and a thick client in UiPath?,3
Do you know about Citrix automation?,2
What is PDF automation?,3
What is Email Automation?,2
Mention the types of OCR engines available which can integrate with UiPath?,2
Mention the types of robots in RPA?,3
"In UiPath, what is a state machine?",1
Mention the key difference between process automation and test automation?,1
"In UiPath studio, which activity can be utilized to iterate through an activity?",3
What is debugging in UiPath?,1
"In UiPath, how do you convert a string to an integer?",3
What is UiPath Explorer?,2
What is Computer vision activity?,3
What is the append range in UiPath?,1
What are the various types of variables in UiPath?,1
What is the procedure for activating an UiPath Studio license?,2
What is the contention in UiPath?,1
"In UiPath, what are UI Activities Properties?",3
Mention the different ways to create a variable in UiPath.,2
How can I connect the database to UiPath and read data from it?,2
"In UiPath, explain the terms read range, read cell, read csv, write range, write cell, and write csv.",2
"If the Package Manager’s tested package is not accessible, Do you know how to get the desired package in UiPath studio?",1
"In UiPath, what do you mean by Selectors and Wildcards?",2
How to connect robots to orchestrators in UiPath?,2
How would you go about enabling image and content-based process automation?,2
"
Find RPA Training Certification in Other Regions",2
Can you explain the term RPA?,2
What is Automation Anywhere?,1
Why do we require Automation Anywhere?,2
Can you explain what are the advantages of Automation Anywhere?,2
What are the features of Automation Anywhere?,3
What are the three types of Automation Anywhere bots?,1
Do you know about Predefined variables?,1
What is QTP?,3
Can you give some applications where Automation Anywhere can be used?,2
What are various Automation Anywhere tools?,3
How many automation commands are available in Automation Anywhere?,2
Can you differentiate between the wait command and the delay command?,1
Do you know how many recorders are there in Automation Anywhere and what are they?,3
What are the components of Automation Anywhere tool architecture?,3
Can you mention tasks that can be automated?,3
What is Sikuli?,3
What is the difference between Automation Anywhere and Blue Prism?,3
What are the various licenses available in Automation Anywhere?,1
What are the options available in error handling?,2
How do you use Automation Anywhere system variables to create timestamps for your files?,2
How can you read PDFs through Automation Anywhere?,2
What do you mean by object cloning?,3
What are the factors that you would consider when you want to use Automation Anywhere?,1
What is meant by the framework?,3
What are the various types of frameworks in Automation Anywhere?,3
What is the control room in Automation Anywhere?,3
What is a Bot Creator?,1
What is Bot Runner?,3
What is an Automation Anywhere Bot store?,3
What is Trigger and what is the use of Trigger in Automation Anywhere?,2
What do you know about Bot insight?,2
What is the difference between a set text and an append text?,3
What is the App Integration command?,3
What types of scripts can Automation Anywhere run?,2
What is PGP? And the use of PGP?,1
"In the AA assignment, how will you link or read two or more separate excel files?",3
What exactly does Workflow Designer mean?,2
How can we extract tables from PDFs in Automation Anywhere?,3
What do you know about auto-login in Automation Anywhere?,2
How do we use OCR for image recognition?,1
How can we use Automation Anywhere to read CSV files?,1
Why are string operation commands used in Automation Anywhere?,1
What is Automation Anywhere credential vault?,3
What is the best way to get access to the API interaction?,3
How do I configure Automation Anywhere's email settings and SMTP server?,2
Explain steps involved in recording tasks in Automation Anywhere?,2
"What do you mean by the terms least, moderately, and most friendly formats in Automation Anywhere.",2
Can we acquire 100% automation with Automation Anywhere?,3
What are the steps you would take If you couldn’t log in to the client machine from Automation Anywhere?,2
When are you going to start managing bot lifecycles in Automation Anywhere?,2
Compare Splunk with Spark.,2
What is Splunk?,1
What are the common port numbers used by Splunk?,2
What are the components of Splunk? Explain Splunk architecture.,3
Which is the latest Splunk version in use?,3
What is Splunk Indexer? What are the stages of Splunk Indexing?,1
What is a Splunk Forwarder? What are the types of Splunk Forwarders?,1
Can you name a few most important configuration files in Splunk?,1
What are the types of Splunk Licenses?,2
What is Splunk App?,1
Where is Splunk Default Configuration stored?,2
What are the features not available in Splunk Free?,2
What happens if the License Master is unreachable?,2
What is Summary Index in Splunk?,1
What is Splunk DB Connect?,3
Can you write down a general regular expression for extracting the IP address from logs?,1
Explain Stats vs Transaction commands.,3
How to troubleshoot Splunk performance issues?,3
What are Buckets? Explain Splunk Bucket Lifecycle.,1
What is the difference between stats and eventstats commands?,2
Who are the top direct competitors to Splunk?,2
What do Splunk Licenses specify?,3
"How does Splunk determine 1 day, from a licensing perspective?",1
How are Forwarder Licenses purchased?,3
What is the command for restarting Splunk web server?,1
What is the command for restarting Splunk Daemon?,1
What is the command used to check the running Splunk processes on Unix/Linux?,1
What is the command used for enabling Splunk to boot start?,2
How to disable Splunk boot-start?,3
What is Source Type in Splunk?,1
How to reset Splunk Admin password?,2
How to disable Splunk Launch Message?,3
How to clear Splunk Search History?,3
What is Btool? How will you troubleshoot Splunk configuration files?,1
What is the difference between Splunk App and Splunk Add-on?,1
What is .conf files precedence in Splunk?,1
What is Fishbucket? What is Fishbucket Index?,3
How do I exclude some events from being indexed by Splunk?,2
How can I understand when Splunk has finished indexing a log file?,2
How to set the default search time in Splunk 6?,2
What is Dispatch Directory?,2
What is the difference between Search Head Pooling and Search Head Clustering?,1
"If I want to add folder access logs from a windows machine to Splunk, how do I do it?",1
How would you handle/troubleshoot Splunk License Violation Warning?,2
What is MapReduce algorithm?,1
How does Splunk avoid the duplicate indexing of logs?,1
What is the difference between Splunk SDK and Splunk Framework?,3
For what purpose inputlookup and outputlookup are used in Splunk Search?,3
Explain how Splunk works?,2
How to add the colors in Splunk UI based on the field names? ,3
How the Data Ages in Splunk?,3
What are pivots and data models in Splunk?,3
Explain Workflow Actions?,1
How many types of dashboards are available in Splunk?,3
What are the types of alerts available in Splunk?,1
Define the term “Search factor” and “Replication factor”,2
How to stop/start the Splunk service?,2
What is the use of Time Zone property in Splunk?,1
What are the important Search commands in Splunk?,3
